YearWeek,WeekStartDate,WeekEndDate,Cases,temp_mean_C,temp_max_C,temp_min_C,precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm),District_ampara,District_anuradhapura,District_badulla,District_batticaloa,District_colombo,District_galle,District_gampaha,District_hambantota,District_jaffna,District_kalmunai,District_kalutara,District_kandy,District_kegalle,District_kilinochchi,District_kurunegala,District_mannar,District_matale,District_matara,District_monaragala,District_mullaitivu,District_nuwara eliya,District_polonnaruwa,District_puttalam,District_ratnapura,District_trincomalee,District_vavuniya
2022-W03,2022-01-17,2022-01-23,26,26.557,32.2,21.0,1.7,1.7,273889.67,297808.68,24.2,36.46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,79,25.514,28.9,20.7,2.1,2.1,270348.77,293426.48,23.2,31.07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,42,25.386,28.5,19.9,9.5,9.5,273116.8,296238.6,21.6,31.21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,120,25.457,32.8,18.4,14.7,14.7,274858.89,297286.1,17.2,32.74,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,73,23.243,30.9,15.5,0.8,0.8,274477.73,296413.43,20.6,33.92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,20,25.143,32.8,17.8,3.1,3.1,274331.26,296413.43,17.0,37.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,12,24.743,29.9,18.2,2.0,2.0,270724.91,293779.69,21.7,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,109,25.671,33.7,17.1,1.7,1.7,273245.99,296151.15,20.4,36.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,25,25.929,31.0,18.9,2.0,2.0,271669.75,294308.57,26.1,34.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,25,23.9,31.4,16.2,1.2,1.2,273744.58,296151.15,17.7,34.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,31,25.629,29.0,21.2,3.3,3.3,273554.77,298069.73,25.3,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,0,25.271,28.5,19.6,3.7,3.7,270699.17,293956.12,20.6,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
